transcript	chr	gene	strand	start	end
NM_016237.5	chr12	ANAPC5	-	121308244	121352411
NM_016237.4	chr12	ANAPC5	-	121308356	121352462
NM_001330489.2	chr12	ANAPC5	-	121308244	121352411
NM_001137559.1	chr12	ANAPC5	-	121308244	121354209
NM_016238.2	chr12	ANAPC7	-	110372899	110403730
NM_001137664.1	chr12	ANAPC7	-	110375466	110403730
NM_001145.4	chr14	ANG	+	20684176	20694186
NM_001097577.3	chr14	ANG	+	20688763	20694183
NM_015305.4	chr14	ANGEL1	-	76786008	76812882
NM_015305.3	chr14	ANGEL1	-	76787242	76812940
NM_001370748.1	chr14	ANGEL1	-	76786008	76812882
NM_001370747.1	chr14	ANGEL1	-	76786008	76812882
NM_001370746.1	chr14	ANGEL1	-	76786008	76812882
NM_144567.5	chr1	ANGEL2	-	212992181	213015867
NM_144567.4	chr1	ANGEL2	-	212992181	213015826
NM_144567.3	chr1	ANGEL2	-	212992181	213015826
NM_001300758.1	chr1	ANGEL2	-	212992181	213015875
NM_001300757.1	chr1	ANGEL2	-	212992181	213015875
NM_001300755.1	chr1	ANGEL2	-	212992181	213015509
NM_001300753.1	chr1	ANGEL2	-	212992181	213015875
NM_001314051.1	chr8	ANGPT1	-	107249481	107336515
NM_001199859.3	chr8	ANGPT1	-	107249481	107497918
NM_001199859.1	chr8	ANGPT1	-	107249492	107498055
NM_001146.5	chr8	ANGPT1	-	107249481	107497918
NM_001146.4	chr8	ANGPT1	-	107249481	107498010
NM_001146.3	chr8	ANGPT1	-	107249481	107498010
NM_001147.3	chr8	ANGPT2	-	6499631	6563245
NM_001147.2	chr8	ANGPT2	-	6499650	6563409
NM_001118888.2	chr8	ANGPT2	-	6499631	6563245
NM_001118888.1	chr8	ANGPT2	-	6503079	6563044
NM_001118887.2	chr8	ANGPT2	-	6499631	6563245
NM_001118887.1	chr8	ANGPT2	-	6502297	6563245
NM_015985.4	chr20	ANGPT4	-	869899	916334
NM_015985.3	chr20	ANGPT4	-	869898	916317
NM_001322809.2	chr20	ANGPT4	-	869899	916334
NM_004673.4	chr1	ANGPTL1	-	178849534	178871077
NM_004673.3	chr1	ANGPTL1	-	178849704	178871052
NM_012098.3	chr9	ANGPTL2	-	127087347	127122635
NM_012098.2	chr9	ANGPTL2	-	127087331	127122883
NM_014495.4	chr1	ANGPTL3	+	62597519	62606313
NM_014495.3	chr1	ANGPTL3	+	62597486	62606159
NM_139314.3	chr19	ANGPTL4	+	8364154	8374370
NM_139314.2	chr19	ANGPTL4	+	8364150	8374373
NM_001039667.3	chr19	ANGPTL4	+	8364154	8374370
NM_001039667.2	chr19	ANGPTL4	+	8364168	8374331
NM_178127.5	chr11	ANGPTL5	-	101890673	101916522
NM_178127.4	chr11	ANGPTL5	-	101890673	101916522
NM_031917.2	chr19	ANGPTL6	-	10092336	10102749
NM_001321411.1	chr19	ANGPTL6	-	10092338	10102657
NM_021146.4	chr1	ANGPTL7	+	11189354	11195981
NM_021146.3	chr1	ANGPTL7	+	11189340	11195981
NM_018687.7	chr19	ANGPTL8	+	11239618	11241943
NM_001372060.1	chr12	ANHX	-	133218311	133235877
NM_001191054.1	chr12	ANHX	-	133218311	133235836
NM_020480.5	chr8	ANK1	-	41653224	41665274
NM_020480.4	chr8	ANK1	-	41655685	41665274
NM_020478.5	chr8	ANK1	-	41653224	41665274
NM_020478.4	chr8	ANK1	-	41655323	41665274
NM_020477.3	chr8	ANK1	-	41653224	41797622
NM_020477.2	chr8	ANK1	-	41653219	41797622
NM_020476.3	chr8	ANK1	-	41653224	41797622
NM_020475.3	chr8	ANK1	-	41653224	41797622
NM_001142446.2	chr8	ANK1	-	41653224	41896741
NM_001142446.1	chr8	ANK1	-	41655323	41896762
NM_001142445.2	chr8	ANK1	-	41653224	41665274
NM_001142445.1	chr8	ANK1	-	41655300	41665286
NM_000037.4	chr8	ANK1	-	41653224	41797622
NM_000037.3	chr8	ANK1	-	41653219	41797622
NM_020977.4	chr4	ANK2	+	113049413	113383740
NM_020977.3	chr4	ANK2	+	113049675	113382112
NM_001354282.1	chr4	ANK2	+	113292838	113383740
NM_001354281.1	chr4	ANK2	+	113292838	113383740
NM_001354280.1	chr4	ANK2	+	113292838	113383740
NM_001354279.1	chr4	ANK2	+	113292838	113383740
NM_001354278.1	chr4	ANK2	+	113292838	113383740
NM_001354277.1	chr4	ANK2	+	112817996	113383740
NM_001354276.1	chr4	ANK2	+	112817996	113383740
NM_001354275.1	chr4	ANK2	+	112817996	113383740
NM_001354274.1	chr4	ANK2	+	112817996	113383740
NM_001354273.1	chr4	ANK2	+	113049413	113383740
NM_001354272.1	chr4	ANK2	+	112817996	113383740
NM_001354271.1	chr4	ANK2	+	112860986	113383740
NM_001354270.1	chr4	ANK2	+	112817996	113383740
NM_001354269.1	chr4	ANK2	+	112706017	113383740
NM_001354268.1	chr4	ANK2	+	113049413	113383740
NM_001354267.1	chr4	ANK2	+	112860986	113383740
NM_001354266.1	chr4	ANK2	+	112817996	113383740
NM_001354265.1	chr4	ANK2	+	113049413	113383740
NM_001354264.1	chr4	ANK2	+	112860986	113383740
NM_001354262.1	chr4	ANK2	+	112817996	113383740
NM_001354261.1	chr4	ANK2	+	112860986	113383740
NM_001354260.1	chr4	ANK2	+	112817996	113383740
NM_001354258.1	chr4	ANK2	+	113049413	113383740
NM_001354257.1	chr4	ANK2	+	112817996	113383740
NM_001354256.1	chr4	ANK2	+	112817996	113383740
NM_001354255.1	chr4	ANK2	+	112817996	113383740
NM_001354254.1	chr4	ANK2	+	112817996	113383740
NM_001354253.1	chr4	ANK2	+	112817996	113383740
NM_001354252.1	chr4	ANK2	+	112817996	113383740
NM_001354249.1	chr4	ANK2	+	112817996	113383740
NM_001354246.1	chr4	ANK2	+	113049413	113383740
NM_001354245.1	chr4	ANK2	+	113049413	113383740
NM_001354244.1	chr4	ANK2	+	112817996	113383740
NM_001354243.1	chr4	ANK2	+	112817996	113383740
NM_001354242.1	chr4	ANK2	+	113116696	113383740
NM_001354241.1	chr4	ANK2	+	113049413	113383740
NM_001354240.1	chr4	ANK2	+	113116696	113383740
NM_001354239.1	chr4	ANK2	+	112817996	113383740
NM_001354237.1	chr4	ANK2	+	113116696	113383740
NM_001354236.1	chr4	ANK2	+	113049413	113383740
NM_001354235.1	chr4	ANK2	+	113049413	113383740
NM_001354232.1	chr4	ANK2	+	113049413	113383740
NM_001354231.1	chr4	ANK2	+	113116696	113383740
NM_001354230.1	chr4	ANK2	+	113116696	113383740
NM_001354228.1	chr4	ANK2	+	113049413	113383740
NM_001354225.1	chr4	ANK2	+	113049413	113383740
NM_001148.6	chr4	ANK2	+	113049652	113383736
NM_001148.4	chr4	ANK2	+	113049675	113383740
NM_001127493.2	chr4	ANK2	+	112817996	113383740
NM_001127493.1	chr4	ANK2	+	112818108	113383735
NM_020987.5	chr10	ANK3	-	60026297	60389875
NM_020987.4	chr10	ANK3	-	60026297	60389730
NM_020987.3	chr10	ANK3	-	60026297	60389730
NM_001320874.2	chr10	ANK3	-	60026297	60389875
NM_001204404.2	chr10	ANK3	-	60026297	60572956
NM_001204404.1	chr10	ANK3	-	60029796	60572663
NM_001204403.2	chr10	ANK3	-	60026297	60733528
NM_001204403.1	chr10	ANK3	-	60028400	60733490
NM_001149.3	chr10	ANK3	-	60026297	60141016
NM_144708.3	chr2	ANKAR	+	189675984	189746650
NM_182703.6	chr15	ANKDD1A	+	64911901	64958691
NM_182703.5	chr15	ANKDD1A	+	64911901	64958700
NM_182703.4	chr15	ANKDD1A	+	64911901	64958700
NM_001276713.1	chr5	ANKDD1B	+	75611475	75671846
NM_198798.3	chr20	ANKEF1	+	10034986	10058303
NM_022096.6	chr20	ANKEF1	+	10034986	10058303
NM_022096.5	chr20	ANKEF1	+	10035040	10055822
NM_022096.4	chr20	ANKEF1	+	10035040	10055822
NM_001303472.2	chr20	ANKEF1	+	10034986	10058303
NM_153228.2	chr17	ANKFN1	+	56153474	56482646
NM_001370326.1	chr17	ANKFN1	+	56153474	56517016
NM_001365758.1	chr17	ANKFN1	+	56153474	56517016
NM_016376.5	chr17	ANKFY1	-	4163820	4263979
NM_016376.3	chr17	ANKFY1	-	4166273	4263956
NM_001330063.2	chr17	ANKFY1	-	4163820	4263979
NM_001257999.2	chr17	ANKFY1	-	4163817	4263847
NM_001257999.1	chr17	ANKFY1	-	4165073	4263847
NM_054027.6	chr5	ANKH	-	14704799	14871778
NM_054027.4	chr5	ANKH	-	14704799	14871785
NM_024668.4	chr5	ANKHD1	+	140401832	140472477
NM_024668.3	chr5	ANKHD1	+	140401853	140472477
NM_017978.3	chr5	ANKHD1	+	140401832	140472477
NM_017978.2	chr5	ANKHD1	+	140401920	140472477
NM_017747.3	chr5	ANKHD1	+	140401832	140539849
NM_017747.2	chr5	ANKHD1	+	140401813	140539856
NM_001197030.1	chr5	ANKHD1	+	140401813	140472477
NM_020690.5	chr5	ANKHD1-EIF4EBP3	+	140401813	140549578
NM_019004.2	chr7	ANKIB1	+	92245973	92401383
NM_019004.1	chr7	ANKIB1	+	92246233	92401384
NM_178510.2	chr11	ANKK1	+	113387778	113400416
NM_178510.1	chr11	ANKK1	+	113387790	113400418
NM_152363.6	chr19	ANKLE1	+	17281900	17287646
NM_152363.5	chr19	ANKLE1	+	17281644	17287646
NM_001278445.2	chr19	ANKLE1	+	17281900	17287646
NM_001278445.1	chr19	ANKLE1	+	17281876	17286854
NM_001278444.2	chr19	ANKLE1	+	17281900	17287646
NM_001278443.2	chr19	ANKLE1	+	17281900	17287646
NM_015114.3	chr12	ANKLE2	-	132725502	132761832
NM_015114.2	chr12	ANKLE2	-	132725502	132761888
NM_015114.1	chr12	ANKLE2	-	132725502	132761888
NM_017844.4	chr2	ANKMY1	-	240479421	240557988
NM_017844.3	chr2	ANKMY1	-	240479421	240558021
NM_016552.5	chr2	ANKMY1	-	240479421	240557988
NM_016552.3	chr2	ANKMY1	-	240479421	240557974
NM_001354026.1	chr2	ANKMY1	-	240521937	240561110
NM_001354025.2	chr2	ANKMY1	-	240479421	240561064
NM_001354024.2	chr2	ANKMY1	-	240479421	240561064
NM_001354023.2	chr2	ANKMY1	-	240479421	240561064
NM_001308375.2	chr2	ANKMY1	-	240479421	240561064
NM_001282781.2	chr2	ANKMY1	-	240479421	240557988
NM_001282781.1	chr2	ANKMY1	-	240479421	240557963
NM_001282780.2	chr2	ANKMY1	-	240479421	240557988
NM_001282780.1	chr2	ANKMY1	-	240479421	240557962
NM_001282771.3	chr2	ANKMY1	-	240479421	240557988
NM_001282771.1	chr2	ANKMY1	-	240479608	240558002
NM_020319.3	chr7	ANKMY2	-	16599778	16645754
NM_020319.2	chr7	ANKMY2	-	16599775	16645817
NM_023039.5	chr5	ANKRA2	-	73552189	73565639
NM_023039.4	chr5	ANKRA2	-	73552334	73565686
NM_014391.2	chr10	ANKRD1	-	90912099	90921275
NM_017664.4	chr13	ANKRD10	-	110878539	110915069
NM_017664.3	chr13	ANKRD10	-	110878539	110915069
NM_001286721.2	chr13	ANKRD10	-	110892697	110915069
NM_001286721.1	chr13	ANKRD10	-	110892691	110915006
NM_013275.6	chr16	ANKRD11	-	89267629	89490561
NM_013275.5	chr16	ANKRD11	-	89267629	89490561
NM_001256183.2	chr16	ANKRD11	-	89267629	89490561
NM_001256182.2	chr16	ANKRD11	-	89267629	89490561
NM_001256182.1	chr16	ANKRD11	-	89267626	89490318
NM_015208.5	chr18	ANKRD12	+	9136780	9285985
NM_015208.4	chr18	ANKRD12	+	9136776	9285985
NM_001204056.1	chr18	ANKRD12	+	9137562	9285985
NM_001083625.3	chr18	ANKRD12	+	9136780	9285985
NM_033121.2	chr12	ANKRD13A	+	109999429	110039763
NM_033121.1	chr12	ANKRD13A	+	109999522	110039763
NM_152345.5	chr17	ANKRD13B	+	29593131	29614761
NM_152345.4	chr17	ANKRD13B	+	29593467	29614761
NM_030816.5	chr1	ANKRD13C	-	70258998	70354722
NM_030816.4	chr1	ANKRD13C	-	70260587	70354722
NM_207354.3	chr11	ANKRD13D	+	67289302	67302484
NM_207354.2	chr11	ANKRD13D	+	67289290	67302483
NM_001347901.2	chr11	ANKRD13D	+	67289302	67302484
NM_019046.3	chr10	ANKRD16	-	5861615	5889893
NM_019046.2	chr10	ANKRD16	-	5861616	5889898
NM_001009943.2	chr10	ANKRD16	-	5878086	5889897
NM_001009941.2	chr10	ANKRD16	-	5878086	5889897
NM_198889.3	chr4	ANKRD17	-	73073375	73258798
NM_198889.1	chr4	ANKRD17	-	73075685	73258798
NM_032217.5	chr4	ANKRD17	-	73073375	73258798
NM_032217.4	chr4	ANKRD17	-	73073375	73258785
NM_032217.3	chr4	ANKRD17	-	73073375	73258785
NM_015574.2	chr4	ANKRD17	-	73073375	73258798
NM_001286771.3	chr4	ANKRD17	-	73073375	73223057
NM_001286771.1	chr4	ANKRD17	-	73075685	73223114
NM_147195.4	chr9	ANKRD18A	-	38571363	38620596
NM_147195.2	chr9	ANKRD18A	-	38571357	38620660
NM_001331100.2	chr9	ANKRD18A	-	38571363	38620596
NM_001353432.2	chr9	ANKRD18B	+	33524250	33575442
NM_001244752.1	chr9	ANKRD18B	+	33524393	33573001
NM_020349.4	chr10	ANKRD2	+	97572502	97583884
NM_020349.3	chr10	ANKRD2	+	97572498	97583882
NM_020349.2	chr10	ANKRD2	+	97572498	97583882
NM_001346793.2	chr10	ANKRD2	+	97572778	97583884
NM_001291219.3	chr10	ANKRD2	+	97572778	97583884
NM_001291219.1	chr10	ANKRD2	+	97572498	97583882
NM_001291218.1	chr10	ANKRD2	+	97572440	97583884
NM_001129981.3	chr10	ANKRD2	+	97572502	97583884
NM_001129981.2	chr10	ANKRD2	+	97572498	97583882
NM_032250.3	chr9	ANKRD20A1	+	67859314	67902394
NM_001012421.1	chr9	ANKRD20A2	+	40223284	40266392
NM_001012419.2	chr9	ANKRD20A3	-	66109393	66152932
NM_001098805.1	chr9	ANKRD20A4	+	64369562	64412691
NM_144590.3	chr10	ANKRD22	-	88819895	88851844
NM_144590.2	chr10	ANKRD22	-	88822131	88851818
NM_144994.8	chr2	ANKRD23	-	96837911	96844021
NM_144994.7	chr2	ANKRD23	-	96837911	96844034
NM_133475.1	chr19	ANKRD24	+	4183353	4224814
NM_014915.2	chr10	ANKRD26	-	27004115	27100498
NM_001256053.1	chr10	ANKRD26	-	27004115	27100498
NM_032139.3	chr19	ANKRD27	-	32597005	32675180
NM_032139.2	chr19	ANKRD27	-	32597006	32675199
NM_015199.4	chr3	ANKRD28	-	15667235	15859814
NM_015199.3	chr3	ANKRD28	-	15667235	15859771
NM_001349285.2	chr3	ANKRD28	-	15781433	15797979
NM_001349284.2	chr3	ANKRD28	-	15781433	15797979
NM_001349283.2	chr3	ANKRD28	-	15667235	15797979
NM_001349282.2	chr3	ANKRD28	-	15667235	15797979
NM_001349281.2	chr3	ANKRD28	-	15667235	15797979
NM_001349280.1	chr3	ANKRD28	-	15667235	15798184
NM_001349279.2	chr3	ANKRD28	-	15667235	15859814
NM_001349278.2	chr3	ANKRD28	-	15667235	15797979
NM_001349277.2	chr3	ANKRD28	-	15667235	15797979
NM_001195099.2	chr3	ANKRD28	-	15667235	15756547
NM_001195099.1	chr3	ANKRD28	-	15667235	15756551
NM_001195098.1	chr3	ANKRD28	-	15667235	15798184
NM_173505.4	chr18	ANKRD29	-	23598925	23662911
NM_173505.3	chr18	ANKRD29	-	23598925	23662885
NM_173505.2	chr18	ANKRD29	-	23598925	23662885
NM_001308238.2	chr18	ANKRD29	-	23598925	23662911
NM_052997.2	chr10	ANKRD30A	+	37125856	37232567
NM_001367607.1	chr18	ANKRD30B	+	14748171	14854259
NM_001145029.1	chr18	ANKRD30B	+	14748239	14852480
NM_001358416.1	chr2	ANKRD30BL	-	132147590	132161952
NM_001372053.1	chr5	ANKRD31	-	75068296	75236878
NM_001164443.1	chr5	ANKRD31	-	75068296	75236878
NM_032290.3	chr5	ANKRD32	+	94618346	94697621
NM_182608.4	chr12	ANKRD33	+	51888102	51891727
NM_182608.3	chr12	ANKRD33	+	51887959	51891654
NM_001304460.2	chr12	ANKRD33	+	51888102	51891727
NM_001304459.2	chr12	ANKRD33	+	51888102	51891727
NM_001130015.2	chr12	ANKRD33	+	51888102	51891727
NM_001130015.1	chr12	ANKRD33	+	51888216	51891657
NM_001164440.2	chr5	ANKRD33B	+	10564069	10657816
NM_001164440.1	chr5	ANKRD33B	+	10564467	10650196
NM_001039888.4	chr1	ANKRD34A	-	145959440	145964575
NM_001039888.3	chr1	ANKRD34A	-	145959441	145964582
NM_001004441.3	chr5	ANKRD34B	-	80556754	80570280
NM_001004441.2	chr5	ANKRD34B	-	80556754	80570488
NM_001146341.2	chr15	ANKRD34C	+	79282721	79298239
NM_144698.5	chr1	ANKRD35	-	145866563	145885866
NM_144698.4	chr1	ANKRD35	-	145866559	145885845
NM_001280799.1	chr1	ANKRD35	-	145866559	145885866
NM_198555.4	chr2	ANKRD36	+	97113152	97118949
NM_001354587.1	chr2	ANKRD36	+	97113152	97264521
NM_001164315.1	chr2	ANKRD36	+	97113495	97264521
NM_025190.3	chr2	ANKRD36B	-	97504797	97589965
NM_001353337.2	chr2	ANKRD36B	-	97584510	97589877
NM_001310154.3	chr2	ANKRD36C	-	95848931	95991824
NM_181726.4	chr4	ANKRD37	+	185396840	185400241
NM_181726.3	chr4	ANKRD37	+	185396483	185400241
NM_016466.6	chr2	ANKRD39	-	96847989	96858016
NM_016466.5	chr2	ANKRD39	-	96847984	96858095
NM_052855.4	chr17	ANKRD40	-	50693197	50707914
NM_052855.3	chr17	ANKRD40	-	50693189	50707924
NM_001358683.2	chr17	ANKRD40CL	-	50761006	50767518
NM_182603.4	chr11	ANKRD42	+	83193711	83248971
NM_182603.2	chr11	ANKRD42	+	83194508	83248971
NM_001300977.2	chr11	ANKRD42	+	83193711	83215200
NM_001300977.1	chr11	ANKRD42	+	83193738	83215200
NM_001300976.2	chr11	ANKRD42	+	83193711	83215200
NM_001300976.1	chr11	ANKRD42	+	83194248	83215200
NM_001300975.2	chr11	ANKRD42	+	83193711	83248971
NM_001300975.1	chr11	ANKRD42	+	83194644	83248543
NM_001300973.2	chr11	ANKRD42	+	83193711	83256099
NM_001300973.1	chr11	ANKRD42	+	83193875	83256099
NM_001300972.2	chr11	ANKRD42	+	83193711	83256099
NM_153697.3	chr2	ANKRD44	-	197099476	197310780
NM_153697.2	chr2	ANKRD44	-	197099476	197310787
NM_001367497.1	chr2	ANKRD44	-	196986661	197310780
NM_001367496.1	chr2	ANKRD44	-	196991146	197310780
NM_001367495.1	chr2	ANKRD44	-	196986661	197310780
NM_001195144.2	chr2	ANKRD44	-	196986661	197310780
NM_001195144.1	chr2	ANKRD44	-	196986661	197310797
NM_198493.3	chr1	ANKRD45	-	173608335	173669851
NM_198493.2	chr1	ANKRD45	-	173609560	173669862
NM_198401.4	chr8	ANKRD46	-	100520771	100559759
NM_198401.3	chr8	ANKRD46	-	100520771	100559784
NM_001270379.2	chr8	ANKRD46	-	100509751	100559759
NM_001270379.1	chr8	ANKRD46	-	100509751	100559742
NM_001270378.2	chr8	ANKRD46	-	100520771	100559759
NM_001270378.1	chr8	ANKRD46	-	100520775	100559711
NM_001270377.2	chr8	ANKRD46	-	100520771	100559759
NM_001270377.1	chr8	ANKRD46	-	100520771	100559759
NM_017704.3	chr11	ANKRD49	+	94493983	94499578
NM_017704.2	chr11	ANKRD49	+	94493628	94499583
NM_020337.3	chr4	ANKRD50	-	124664047	124712732
NM_020337.2	chr4	ANKRD50	-	124664051	124712732
NM_001167882.2	chr4	ANKRD50	-	124664047	124712732
NM_173595.4	chr12	ANKRD52	-	56237806	56258384
NM_173595.3	chr12	ANKRD52	-	56237806	56258391
NM_024933.4	chr2	ANKRD53	+	70978629	70985499
NM_024933.3	chr2	ANKRD53	+	70978379	70985499
NM_001369683.1	chr2	ANKRD53	+	70978444	70985499
NM_001115116.2	chr2	ANKRD53	+	70978629	70985499
NM_001115116.1	chr2	ANKRD53	+	70978611	70985339
NM_138797.4	chr22	ANKRD54	-	37830854	37844334
NM_138797.2	chr22	ANKRD54	-	37830854	37844431
NM_001363839.1	chr22	ANKRD54	-	37830854	37843848
NM_001349853.1	chr22	ANKRD54	-	37830854	37849318
NM_024669.3	chr5	ANKRD55	-	56099679	56233330
NM_024669.2	chr5	ANKRD55	-	56099677	56233359
NM_014942.4	chr6	ANKRD6	+	89433177	89633834
NM_001242814.1	chr6	ANKRD6	+	89566837	89633834
NM_001242813.1	chr6	ANKRD6	+	89433177	89633834
NM_001242811.1	chr6	ANKRD6	+	89562317	89633834
NM_001242809.2	chr6	ANKRD6	+	89433151	89633821
NM_001242809.1	chr6	ANKRD6	+	89433208	89631583
NM_001304369.1	chr20	ANKRD60	-	58216125	58228653
NM_001271700.2	chr7	ANKRD61	+	6031375	6036552
NM_001271700.1	chr7	ANKRD61	+	6031375	6036386
NM_001277333.2	chr18	ANKRD62	+	12093842	12129764
NM_001277333.1	chr18	ANKRD62	+	12093852	12127939
NM_001190479.2	chr15	ANKRD63	-	40278371	40282586
NM_001243536.2	chr1	ANKRD65	-	1418419	1421276
NM_001243536.1	chr1	ANKRD65	-	1418419	1421444
NM_001243535.2	chr1	ANKRD65	-	1418419	1421276
NM_001243535.1	chr1	ANKRD65	-	1418419	1421769
NM_001145210.2	chr1	ANKRD65	-	1418419	1421444
NM_001162435.2	chr6	ANKRD66	+	46746916	46759218
NM_019644.4	chr7	ANKRD7	+	118224703	118242732
NM_019644.3	chr7	ANKRD7	+	118224657	118242731
NM_152326.4	chr14	ANKRD9	-	102501766	102509776
NM_152326.2	chr14	ANKRD9	-	102501759	102509791
NM_001348652.2	chr14	ANKRD9	-	102501766	102509776
NM_001348652.1	chr14	ANKRD9	-	102506875	102509799
NM_001348651.2	chr14	ANKRD9	-	102501766	102509776
NM_015245.3	chr6	ANKS1A	+	34889254	35091406
NM_015245.2	chr6	ANKS1A	+	34889264	35091413
NM_181670.4	chr12	ANKS1B	-	98743973	99154766
NM_181670.3	chr12	ANKS1B	-	98744215	99154764
NM_152788.4	chr12	ANKS1B	-	98734790	99984654
NM_020140.3	chr12	ANKS1B	-	98734790	99154799
NM_001352225.2	chr12	ANKS1B	-	98743973	98894774
NM_001352224.2	chr12	ANKS1B	-	98743973	98894774
NM_001352223.1	chr12	ANKS1B	-	98734790	98894896
NM_001352222.2	chr12	ANKS1B	-	98743973	98894774
NM_001352221.2	chr12	ANKS1B	-	98743973	98894774
NM_001352220.2	chr12	ANKS1B	-	98743973	98894774
NM_001352219.2	chr12	ANKS1B	-	98743973	98894774
NM_001352218.2	chr12	ANKS1B	-	98743973	98894774
NM_001352217.2	chr12	ANKS1B	-	98743973	98894774
NM_001352216.1	chr12	ANKS1B	-	98734790	98894896
NM_001352214.1	chr12	ANKS1B	-	98734790	98894896
NM_001352213.1	chr12	ANKS1B	-	98734790	98894896
NM_001352212.2	chr12	ANKS1B	-	98743973	98895291
NM_001352211.2	chr12	ANKS1B	-	98743973	98895291
NM_001352210.2	chr12	ANKS1B	-	98743973	98895291
NM_001352209.2	chr12	ANKS1B	-	98743973	98895291
NM_001352208.2	chr12	ANKS1B	-	98743973	98895291
NM_001352207.2	chr12	ANKS1B	-	98743973	98895291
NM_001352206.2	chr12	ANKS1B	-	98743973	99154766
NM_001352205.2	chr12	ANKS1B	-	98743973	99154766
NM_001352204.2	chr12	ANKS1B	-	98743973	99154766
NM_001352203.2	chr12	ANKS1B	-	98743973	99154766
NM_001352202.2	chr12	ANKS1B	-	98743973	99154766
NM_001352201.2	chr12	ANKS1B	-	98743973	99154766
NM_001352200.2	chr12	ANKS1B	-	98743973	99154766
NM_001352199.2	chr12	ANKS1B	-	98743973	99154766
NM_001352198.2	chr12	ANKS1B	-	98743973	99154766
NM_001352197.1	chr12	ANKS1B	-	98734790	99154799
NM_001352196.1	chr12	ANKS1B	-	98734790	99154799
NM_001352195.2	chr12	ANKS1B	-	98743973	99154766
NM_001352194.2	chr12	ANKS1B	-	98743973	99154766
NM_001352193.2	chr12	ANKS1B	-	98743973	99154929
NM_001352192.2	chr12	ANKS1B	-	98743973	99154929
NM_001352191.2	chr12	ANKS1B	-	98743973	99154929
NM_001352190.1	chr12	ANKS1B	-	98743973	99155090
NM_001352189.1	chr12	ANKS1B	-	98743973	99155090
NM_001352188.1	chr12	ANKS1B	-	98743973	99984654
NM_001352187.1	chr12	ANKS1B	-	98743973	99984654
NM_001352186.1	chr12	ANKS1B	-	98743973	99984654
NM_001352185.1	chr12	ANKS1B	-	98743973	99984654
NM_001204081.1	chr12	ANKS1B	-	98734790	98894896
NM_001204080.2	chr12	ANKS1B	-	98743973	98894774
NM_001204080.1	chr12	ANKS1B	-	98745399	98894891
NM_001204079.2	chr12	ANKS1B	-	98743973	98894774
NM_001204070.2	chr12	ANKS1B	-	98743973	99154766
NM_001204070.1	chr12	ANKS1B	-	98745738	99154492
NM_001204069.2	chr12	ANKS1B	-	98743973	99154766
NM_001204069.1	chr12	ANKS1B	-	98743973	99154746
NM_001204068.2	chr12	ANKS1B	-	98743973	99154766
NM_001204068.1	chr12	ANKS1B	-	98745832	99154492
NM_001204067.1	chr12	ANKS1B	-	98743973	99155090
NM_001204066.2	chr12	ANKS1B	-	98743973	99154929
NM_001204066.1	chr12	ANKS1B	-	98743973	99154867
NM_001204065.2	chr12	ANKS1B	-	98743973	98894774
NM_133450.4	chr16	ANKS3	-	4696510	4734271
NM_133450.3	chr16	ANKS3	-	4696511	4734162
NM_001324130.2	chr16	ANKS3	-	4696510	4734271
NM_001324129.2	chr16	ANKS3	-	4696510	4734271
NM_001308089.2	chr16	ANKS3	-	4696510	4734271
NM_001242929.1	chr16	ANKS3	-	4696509	4734377
NM_145865.3	chr16	ANKS4B	+	21233698	21253850
NM_145865.2	chr16	ANKS4B	+	21233664	21253845
NM_173551.5	chr9	ANKS6	-	98732008	98796555
NM_173551.4	chr9	ANKS6	-	98732018	98796539
NM_001315506.2	chr3	ANKUB1	-	149766627	149792554
NM_001315506.1	chr3	ANKUB1	-	149766627	149792766
NM_001315505.2	chr3	ANKUB1	-	149761099	149792554
NM_001315505.1	chr3	ANKUB1	-	149761438	149792823
NM_001144960.3	chr3	ANKUB1	-	149761099	149792554
NM_001144960.1	chr3	ANKUB1	-	149761104	149792823
NM_018089.3	chr2	ANKZF1	+	219229805	219236679
NM_018089.2	chr2	ANKZF1	+	219229756	219236669
NM_001282792.2	chr2	ANKZF1	+	219229805	219236679
NM_001282792.1	chr2	ANKZF1	+	219229786	219236669
NM_001042410.2	chr2	ANKZF1	+	219229805	219236679
NM_001042410.1	chr2	ANKZF1	+	219229887	219236649
NM_018685.5	chr7	ANLN	+	36389861	36453791
NM_018685.4	chr7	ANLN	+	36389805	36453791
NM_018685.3	chr7	ANLN	+	36389805	36453791
NM_001284302.3	chr7	ANLN	+	36389861	36453791
NM_001284302.1	chr7	ANLN	+	36389820	36453791
NM_001284301.3	chr7	ANLN	+	36389861	36453791
NM_018043.6	chr11	ANO1	+	70078539	70189530
NM_018043.5	chr11	ANO1	+	70078301	70189528
NM_018075.5	chr3	ANO10	-	43365847	43622011
NM_018075.4	chr3	ANO10	-	43365847	43622068
NM_018075.3	chr3	ANO10	-	43365847	43622068
NM_001346469.1	chr3	ANO10	-	43366325	43691594
NM_001346468.1	chr3	ANO10	-	43366325	43691594
NM_001346467.1	chr3	ANO10	-	43366325	43621926
NM_001346466.1	chr3	ANO10	-	43366325	43621926
NM_001346465.1	chr3	ANO10	-	43366325	43622077
NM_001346464.1	chr3	ANO10	-	43366325	43622077
NM_001346463.1	chr3	ANO10	-	43366325	43622077
NM_001204834.2	chr3	ANO10	-	43366325	43622077
